"aiIdx","ubiMo","utilityDeltaPct","cePct","fiscalBn"
-0.1,1000,-35.6068441654772,-49.9999999999545,0.003096
0,1000,-35.6592471550364,-49.9999999999545,0.003096
0.1,1000,-35.7261262502142,-49.9999999999545,0.003096
0.2,1000,-35.7920863414664,-49.9999999999545,0.003096
0.3,1000,-35.8571511804155,-49.9999999999545,0.003096
0.4,1000,-35.921343614703,-49.9999999999545,0.003096
0.5,1000,-35.9846856334757,-49.9999999999545,0.003096
0.6,1000,-36.0471984100284,-49.9999999999545,0.003096
0.7,1000,-36.1089023418125,-49.9999999999545,0.003096
0.8,1000,-36.1698170880084,-49.9999999999545,0.003096
0.9,1000,-36.2299616048346,-49.9999999999545,0.003096
1,1000,-36.2893541787602,-49.9999999999545,0.003096
-1,1250,-35.1080162192063,-49.9999999999545,0.00387
-0.9,1250,-35.1660186346609,-49.9999999999545,0.00387
-0.8,1250,-35.2233438095454,-49.9999999999545,0.00387
-0.7,1250,-35.2800065580387,-49.9999999999545,0.00387
-0.6,1250,-35.336021218278,-49.9999999999545,0.00387
-0.5,1250,-35.3914016725571,-49.9999999999545,0.00387
-0.4,1250,-35.4461613664604,-49.9999999999545,0.00387
-0.3,1250,-35.5003133269985,-49.9999999999545,0.00387
-0.2,1250,-35.5538701798087,-49.9999999999545,0.00387
-0.1,1250,-35.6068441654772,-49.9999999999545,0.00387
0,1250,-35.6592471550364,-49.9999999999545,0.00387
0.1,1250,-35.7261262502142,-49.9999999999545,0.00387
0.2,1250,-35.7920863414664,-49.9999999999545,0.00387
0.3,1250,-35.8571511804155,-49.9999999999545,0.00387
0.4,1250,-35.921343614703,-49.9999999999545,0.00387
0.5,1250,-35.9846856334757,-49.9999999999545,0.00387
0.6,1250,-36.0471984100284,-49.9999999999545,0.00387
0.7,1250,-36.1089023418125,-49.9999999999545,0.00387
0.8,1250,-36.1698170880084,-49.9999999999545,0.00387
0.9,1250,-36.2299616048346,-49.9999999999545,0.00387
1,1250,-36.2893541787602,-49.9999999999545,0.00387
-1,1500,-35.1080162192063,-49.9999999999545,0.004644
-0.9,1500,-35.1660186346609,-49.9999999999545,0.004644
-0.8,1500,-35.2233438095454,-49.9999999999545,0.004644
-0.7,1500,-35.2800065580387,-49.9999999999545,0.004644
-0.6,1500,-35.336021218278,-49.9999999999545,0.004644
-0.5,1500,-35.3914016725571,-49.9999999999545,0.004644
-0.4,1500,-35.4461613664604,-49.9999999999545,0.004644
-0.3,1500,-35.5003133269985,-49.9999999999545,0.004644
-0.2,1500,-35.5538701798087,-49.9999999999545,0.004644
-0.1,1500,-35.6068441654772,-49.9999999999545,0.004644
0,1500,-35.6592471550364,-49.9999999999545,0.004644
0.1,1500,-35.7261262502142,-49.9999999999545,0.004644
0.2,1500,-35.7920863414664,-49.9999999999545,0.004644
0.3,1500,-35.8571511804155,-49.9999999999545,0.004644
0.4,1500,-35.921343614703,-49.9999999999545,0.004644
0.5,1500,-35.9846856334757,-49.9999999999545,0.004644
0.6,1500,-36.0471984100284,-49.9999999999545,0.004644
0.7,1500,-36.1089023418125,-49.9999999999545,0.004644
0.8,1500,-36.1698170880084,-49.9999999999545,0.004644
0.9,1500,-36.2299616048346,-49.9999999999545,0.004644
1,1500,-36.2893541787602,-49.9999999999545,0.004644
-1,1750,-35.1080162192063,-49.9999999999545,0.005418
-0.9,1750,-35.1660186346609,-49.9999999999545,0.005418
-0.8,1750,-35.2233438095454,-49.9999999999545,0.005418
-0.7,1750,-35.2800065580387,-49.9999999999545,0.005418
-0.6,1750,-35.336021218278,-49.9999999999545,0.005418
-0.5,1750,-35.3914016725571,-49.9999999999545,0.005418
-0.4,1750,-35.4461613664604,-49.9999999999545,0.005418
-0.3,1750,-35.5003133269985,-49.9999999999545,0.005418
-0.2,1750,-35.5538701798087,-49.9999999999545,0.005418
-0.1,1750,-35.6068441654772,-49.9999999999545,0.005418
0,1750,-35.6592471550364,-49.9999999999545,0.005418
0.1,1750,-35.7261262502142,-49.9999999999545,0.005418
0.2,1750,-35.7920863414664,-49.9999999999545,0.005418
0.3,1750,-35.8571511804155,-49.9999999999545,0.005418
0.4,1750,-35.921343614703,-49.9999999999545,0.005418
0.5,1750,-35.9846856334757,-49.9999999999545,0.005418
0.6,1750,-36.0471984100284,-49.9999999999545,0.005418
0.7,1750,-36.1089023418125,-49.9999999999545,0.005418
0.8,1750,-36.1698170880084,-49.9999999999545,0.005418
0.9,1750,-36.2299616048346,-49.9999999999545,0.005418
1,1750,-36.2893541787602,-49.9999999999545,0.005418
-1,2000,-35.1080162192063,-49.9999999999545,0.006192
-0.9,2000,-35.1660186346609,-49.9999999999545,0.006192
-0.8,2000,-35.2233438095454,-49.9999999999545,0.006192
-0.7,2000,-35.2800065580387,-49.9999999999545,0.006192
-0.6,2000,-35.336021218278,-49.9999999999545,0.006192
-0.5,2000,-35.3914016725571,-49.9999999999545,0.006192
-0.4,2000,-35.4461613664604,-49.9999999999545,0.006192
-0.3,2000,-35.5003133269985,-49.9999999999545,0.006192
-0.2,2000,-35.5538701798087,-49.9999999999545,0.006192
-0.1,2000,-35.6068441654772,-49.9999999999545,0.006192
0,2000,-35.6592471550364,-49.9999999999545,0.006192
0.1,2000,-35.7261262502142,-49.9999999999545,0.006192
0.2,2000,-35.7920863414664,-49.9999999999545,0.006192
0.3,2000,-35.8571511804155,-49.9999999999545,0.006192
0.4,2000,-35.921343614703,-49.9999999999545,0.006192
0.5,2000,-35.9846856334757,-49.9999999999545,0.006192
0.6,2000,-36.0471984100284,-49.9999999999545,0.006192
0.7,2000,-36.1089023418125,-49.9999999999545,0.006192
0.8,2000,-36.1698170880084,-49.9999999999545,0.006192
0.9,2000,-36.2299616048346,-49.9999999999545,0.006192
1,2000,-36.2893541787602,-49.9999999999545,0.006192
